iter	Passed	Remaining
411	3655	5216
412	3663	5207
413	3672	5198
414	3681	5189
415	3689	5179
416	3699	5171
417	3708	5163
418	3717	5154
419	3725	5144
420	3733	5134
421	3741	5125
422	3749	5114
423	3757	5104
424	3765	5094
425	3773	5084
426	3781	5073
427	3787	5062
428	3795	5051
429	3804	5042
430	3811	5032
431	3820	5023
432	3828	5013
433	3836	5003
434	3844	4993
435	3853	4984
436	3862	4975
437	3871	4968
438	3879	4957
439	3888	4949
440	3899	4942
441	3908	4934
442	3917	4925
443	3925	4915
444	3933	4906
445	3942	4896
446	3950	4887
447	3960	4879
448	3969	4870
449	3977	4861
450	3985	4851
451	3993	4841
452	4000	4831
453	4009	4822
454	4018	4813
455	4027	4805
456	4036	4795
457	4043	4785
458	4051	4775
459	4059	4765
460	4067	4755
461	4074	4745
462	4081	4734
463	4089	4724
464	4097	4714
465	4104	4703
466	4112	4693
467	4120	4683
468	4128	4673
469	4135	4663
470	4142	4653
471	4150	4642
472	4158	4633
473	4166	4623
474	4174	4613
475	4182	4604
476	4189	4593
477	4197	4583
478	4205	4573
479	4212	4563
480	4220	4554
481	4228	4544
482	4235	4534
483	4243	4524
484	4251	4514
485	4259	4504
486	4266	4494
487	4274	4484
488	4281	4474
489	4290	4465
490	4298	4456
491	4307	4447
492	4314	4437
493	4321	4426
494	4329	4417
495	4337	4407
496	4345	4397
497	4353	4388
498	4361	4379
499	4369	4369
500	4377	4359
501	4385	4350
502	4393	4341
503	4401	4331
504	4408	4321
505	4416	4311
506	4424	4302
507	4432	4292
508	4440	4283
509	4449	4274
510	4457	4266
511	4466	4256
512	4474	4247
513	4482	4238
514	4491	4229
515	4499	4220
516	4507	4211
517	4515	4201
518	4523	4192
519	4531	4183
520	4540	4174
521	4549	4165
522	4557	4156
523	4565	4147
524	4574	4138
525	4583	4130
526	4591	4120
527	4600	4112
528	4607	4102
529	4615	4092
530	4623	4083
531	4631	4074
532	4639	4064
533	4646	4054
534	4654	4045
535	4662	4035
536	4669	4026
537	4676	4016
538	4684	4006
539	4694	3999
540	4702	3989
541	4709	3979
542	4717	3970
543	4724	3960
544	4732	3950
545	4740	3941
546	4747	3931
547	4754	3921
548	4762	3912
549	4769	3902
550	4777	3893
551	4785	3883
552	4793	3874
553	4801	3865
554	4809	3855
555	4816	3846
556	4824	3837
557	4832	3827
558	4840	3818
559	4848	3809
560	4856	3800
561	4863	3790
562	4872	3782
563	4880	3772
564	4887	3762
565	4895	3753
566	4903	3744
567	4912	3736
568	4919	3726
569	4928	3718
570	4936	3709
571	4945	3700
572	4952	3690
573	4962	3682
574	4970	3673
575	4979	3665
576	4987	3656
577	4995	3647
578	5005	3639
579	5013	3630
580	5022	3621
581	5030	3613
582	5040	3605
583	5048	3596
584	5057	3588
585	5066	3579
586	5074	3570
587	5084	3562
588	5094	3554
589	5101	3545
590	5108	3535
591	5116	3526
592	5123	3516
593	5131	3507
594	5138	3497
595	5147	3489
596	5155	3480
597	5163	3471
598	5171	3462
599	5180	3453
600	5188	3444
601	5196	3435
602	5203	3426
603	5213	3418
604	5221	3408
605	5229	3399
606	5237	3390
607	5245	3382
608	5253	3372
609	5261	3363
610	5269	3354
611	5276	3345
612	5284	3336
613	5292	3327
614	5300	3318
615	5308	3309
616	5316	3300
617	5323	3290
618	5331	3281
619	5339	3272
620	5346	3263
621	5354	3253
622	5361	3244
623	5369	3235
624	5377	3226
625	5385	3217
626	5392	3208
627	5400	3199
628	5408	3190
629	5417	3181
630	5425	3172
631	5433	3163
632	5442	3155
633	5453	3148
634	5462	3139
635	5472	3132
636	5482	3124
637	5491	3115
638	5501	3108
639	5511	3100
640	5520	3091
641	5529	3083
642	5537	3074
643	5549	3067
644	5561	3060
645	5572	3053
646	5584	3046
647	5593	3038
648	5603	3030
649	5613	3022
650	5623	3014
651	5633	3006
652	5642	2998
653	5653	2991
654	5663	2982
655	5672	2974
656	5682	2966
657	5691	2958
658	5701	2950
659	5709	2941
660	5719	2933
661	5727	2924
662	5736	2915
663	5744	2906
664	5752	2897
665	5761	2889
666	5769	2880
667	5779	2872
668	5787	2863
669	5795	2854
670	5803	2845
671	5812	2836
672	5819	2827
673	5828	2819
674	5837	2810
675	5846	2801
676	5854	2793
677	5862	2784
678	5870	2775
679	5878	2766
680	5886	2757
681	5894	2748
682	5904	2740
683	5912	2731
684	5921	2722
685	5931	2714
686	5939	2706
687	5949	2697
688	5959	2689
689	5968	2681
690	5978	2673
691	5986	2664
692	5996	2656
693	6004	2647
694	6014	2639
695	6022	2630
696	6031	2621
697	6041	2614
698	6050	2605
699	6059	2597
700	6068	2588
701	6076	2579
702	6084	2570
703	6093	2561
704	6101	2553
705	6110	2544
706	6119	2536
707	6126	2526
708	6134	2517
709	6142	2509
710	6150	2500
711	6158	2491
712	6166	2482
713	6174	2473
714	6182	2464
715	6189	2455
716	6197	2446
717	6205	2437
718	6213	2428
719	6222	2419
720	6230	2410
721	6239	2402
722	6246	2393
723	6255	2384
724	6263	2375
725	6271	2366
726	6279	2358
727	6287	2349
728	6297	2341
729	6305	2332
730	6313	2323
731	6321	2314
732	6330	2305
733	6338	2296
734	6345	2287
735	6354	2279
736	6362	2270
