iter	MultiClass
0	0.9703558927
1	0.8648428097
2	0.7776090375
3	0.7034496907
4	0.647149562
5	0.5941637955
6	0.5506666129
7	0.5112192879
8	0.476219815
9	0.4457777891
10	0.419848126
11	0.3972927797
12	0.3741765824
13	0.3527909382
14	0.3365467209
15	0.319489968
16	0.3043667096
17	0.2912273221
18	0.2792223539
19	0.2674391003
20	0.2543163303
21	0.2420372949
22	0.229957967
23	0.2221490532
24	0.2144274083
25	0.2071273548
26	0.2002434614
27	0.194723673
28	0.1868644606
29	0.1818911109
30	0.1750132997
31	0.1694525389
32	0.164787921
33	0.1605314927
34	0.1563243167
35	0.1528793094
36	0.1490369685
37	0.1469535895
38	0.1446891203
39	0.1413153142
40	0.1384348386
41	0.1361375081
42	0.1332148529
43	0.1306273513
44	0.1279514237
45	0.1240234167
46	0.1227850159
47	0.1207893507
48	0.1183776435
49	0.1167245649
50	0.1134606037
51	0.1106432482
52	0.1088307517
53	0.1077437215
54	0.1058305898
55	0.1031536484
56	0.1015125019
57	0.09997769595
58	0.09908587231
59	0.09810295471
60	0.09644782258
61	0.09495744821
62	0.09343784309
63	0.09213963818
64	0.09031174251
65	0.08923044949
66	0.08758076869
67	0.08598143046
68	0.08510800714
69	0.08361541095
70	0.08273198206
71	0.08138895239
72	0.08060083694
73	0.07874225456
74	0.0778685759
75	0.07726756411
76	0.07603094942
77	0.07498504374
78	0.07436609874
79	0.07374550521
80	0.07296052182
81	0.07186790753
82	0.07113643072
83	0.0702575744
84	0.06974680945
85	0.06907550255
86	0.06862748397
87	0.06806461897
88	0.06774185612
89	0.06703736488
90	0.06660094255
91	0.06589622962
92	0.06532933356
93	0.06478296757
94	0.06432516437
95	0.0632833485
96	0.06247656887
97	0.06167443082
98	0.06108013564
99	0.0605334425
100	0.06024234382
101	0.05983573403
102	0.05946346236
103	0.05842087134
104	0.05807941527
105	0.05731955747
106	0.0567195255
107	0.05603402779
108	0.05538703072
109	0.05502521138
110	0.05463027379
111	0.05396908558
112	0.05361962415
113	0.05340513021
114	0.05283445906
115	0.05247397341
116	0.05185329502
117	0.0514525519
118	0.0511983909
119	0.0506773621
120	0.04996917146
121	0.04954591824
122	0.04910757681
